web_source_id,title,url,doi,year,publisher,source_kind,checked_at,notes
WEB-NC-2023-ULTRAHIGH-Q-GMR,Ultrahigh-Q guided mode resonances in an all-dielectric metasurface,https://www.nature.com/articles/s41467-023-39227-5,10.1038/s41467-023-39227-5,2023,Nature Communications,publisher_article_html,2026-05-16 10:46:03,Source text retrieved from publisher article page and inserted as source-linked observations.
WEB-NC-2024-MILLION-Q,Million-Q free space meta-optical resonator at near-visible wavelengths,https://www.nature.com/articles/s41467-024-54775-0,10.1038/s41467-024-54775-0,2024,Nature Communications,publisher_article_html,2026-05-16 10:46:03,Source text retrieved from publisher article page and inserted as source-linked observations.
WEB-NC-2024-AIR-MEMBRANE,Trapping light in air with membrane metasurfaces for vibrational strong coupling,https://www.nature.com/articles/s41467-024-54284-0,10.1038/s41467-024-54284-0,2024,Nature Communications,publisher_article_html,2026-05-16 10:46:03,Source text retrieved from publisher article page and inserted as source-linked observations.
WEB-NC-2025-PLDOS-BIC,Near-field probing of the local density of optical states enhanced by bound states in the continuum in nonlocal metasurfaces,https://www.nature.com/articles/s41467-025-66653-4,10.1038/s41467-025-66653-4,2025,Nature Communications,publisher_article_html,2026-05-16 10:46:03,Source text retrieved from publisher article page and inserted as source-linked observations.
